user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,timestamp
original,golden_036,laguerre,notch,original,smooth,0.3219,0.262,0.3791,2025-06-12T11:35:38.975816
original,golden_036,original,band_stop,original,smooth,0.3149,0.2584,0.3721,2025-06-12T11:35:41.560219
original,golden_036,original,smooth,original,smooth,0.3206,0.261,0.3777,2025-06-12T11:35:43.931444
original,golden_036,chebyshev,smooth,original,smooth,0.3219,0.2621,0.3793,2025-06-12T11:35:46.259935
original,golden_036,harmonic,band_stop,original,smooth,0.3227,0.2628,0.3801,2025-06-12T11:35:48.618987
original,golden_036,chebyshev,bandpass,original,smooth,0.3233,0.263,0.3804,2025-06-12T11:35:50.977587
original,golden_036,spectral_basis,golden_036,original,smooth,0.3229,0.2628,0.3801,2025-06-12T11:35:53.354612
original,golden_036,hermite,sharp,original,smooth,0.3233,0.2628,0.3805,2025-06-12T11:35:55.710208
original,golden_036,parametric,bandpass,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:35:58.052028
original,golden_036,spectral_basis,band_stop,original,smooth,0.3229,0.2628,0.3801,2025-06-12T11:36:00.393283
original,golden_036,hermite,smooth,original,smooth,0.3233,0.2629,0.3806,2025-06-12T11:36:02.732294
original,golden_036,legendre,sharp,original,smooth,0.3232,0.2629,0.3801,2025-06-12T11:36:05.052432
original,golden_036,adaptive_bandstop,gaussian,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:36:07.454000
original,golden_036,chebyshev,gaussian,original,smooth,0.3225,0.2628,0.3798,2025-06-12T11:36:09.773545
original,golden_036,spectral_basis,notch,original,smooth,0.3229,0.2628,0.3801,2025-06-12T11:36:12.076894
original,golden_036,bernstein,butterworth,original,smooth,0.3228,0.2626,0.3798,2025-06-12T11:36:14.398753
original,golden_036,bandstop,band_stop,original,smooth,0.3232,0.2633,0.3803,2025-06-12T11:36:16.706666
original,golden_036,adaptive_bandstop,band_stop,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:36:19.033900
original,golden_036,legendre,bandpass,original,smooth,0.3227,0.2624,0.3798,2025-06-12T11:36:21.337847
original,golden_036,legendre,band_stop,original,smooth,0.3225,0.263,0.3799,2025-06-12T11:36:23.675261
original,golden_036,bernstein,notch,original,smooth,0.3231,0.263,0.3801,2025-06-12T11:36:25.974801
original,golden_036,harmonic,bandpass,original,smooth,0.3227,0.2628,0.3801,2025-06-12T11:36:28.315091
original,golden_036,laguerre,golden_036,original,smooth,0.315,0.2572,0.3707,2025-06-12T11:36:30.639994
original,golden_036,ensemble,butterworth,original,smooth,0.3229,0.2628,0.3802,2025-06-12T11:36:32.986904
original,golden_036,hermite,golden_036,original,smooth,0.3231,0.2627,0.3804,2025-06-12T11:36:35.341111
original,golden_036,parametric,butterworth,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:36:37.696173
original,golden_036,enhanced_basis,gaussian,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:36:40.022518
original,golden_036,golden,golden_036,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:36:42.360780
original,golden_036,jacobi,smooth,original,smooth,0.3221,0.2624,0.3794,2025-06-12T11:36:44.701454
original,golden_036,original,butterworth,original,smooth,0.3157,0.258,0.3713,2025-06-12T11:36:47.164368
original,golden_036,adaptive_bandstop,notch,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:36:49.538199
original,golden_036,legendre,gaussian,original,smooth,0.3223,0.2627,0.3797,2025-06-12T11:36:51.864688
original,golden_036,golden,smooth,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:36:54.270496
original,golden_036,enhanced_basis,golden_036,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:36:56.595235
original,golden_036,enhanced_basis,band_stop,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:36:58.939042
original,golden_036,original,gaussian,original,smooth,0.3158,0.2581,0.3714,2025-06-12T11:37:01.276191
original,golden_036,original,notch,original,smooth,0.3154,0.2577,0.3708,2025-06-12T11:37:03.605385
original,golden_036,jacobi,gaussian,original,smooth,0.3223,0.2627,0.3797,2025-06-12T11:37:05.957468
original,golden_036,enhanced_basis,butterworth,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:37:08.301394
original,golden_036,legendre,notch,original,smooth,0.3232,0.2628,0.3801,2025-06-12T11:37:10.641719
original,golden_036,chebyshev,sharp,original,smooth,0.3227,0.2624,0.3796,2025-06-12T11:37:12.941011
original,golden_036,parametric,bandpass,harmonic,sharp,0.3176,0.2579,0.3746,2025-06-12T11:37:15.280677
original,golden_036,parametric,bandpass,spectral_basis,notch,0.321,0.2616,0.378,2025-06-12T11:37:17.621602
original,golden_036,parametric,bandpass,harmonic,notch,0.3176,0.2579,0.3746,2025-06-12T11:37:19.955190
original,golden_036,parametric,bandpass,bandstop,golden_036,0.3192,0.2592,0.3764,2025-06-12T11:37:22.298975
original,golden_036,parametric,bandpass,enhanced_basis,butterworth,0.3222,0.2619,0.3797,2025-06-12T11:37:24.636186
original,golden_036,parametric,bandpass,bernstein,sharp,0.3196,0.2595,0.3766,2025-06-12T11:37:26.964316
original,golden_036,parametric,bandpass,parametric,butterworth,0.3179,0.2588,0.375,2025-06-12T11:37:29.323764
original,golden_036,parametric,bandpass,bandstop,sharp,0.3192,0.2592,0.3764,2025-06-12T11:37:31.634197
original,golden_036,parametric,bandpass,bandstop,butterworth,0.3192,0.2592,0.3764,2025-06-12T11:37:33.977664
original,golden_036,parametric,bandpass,chebyshev,sharp,0.3201,0.26,0.377,2025-06-12T11:37:36.312199
original,golden_036,parametric,bandpass,spectral_basis,sharp,0.321,0.2616,0.378,2025-06-12T11:37:38.628887
original,golden_036,parametric,bandpass,adaptive_bandstop,bandpass,0.3221,0.262,0.3793,2025-06-12T11:37:40.968118
original,golden_036,parametric,bandpass,legendre,sharp,0.3194,0.2594,0.3764,2025-06-12T11:37:43.325233
original,golden_036,parametric,bandpass,bandstop,smooth,0.3192,0.2592,0.3764,2025-06-12T11:37:45.651906
original,golden_036,parametric,bandpass,harmonic,smooth,0.3176,0.2579,0.3746,2025-06-12T11:37:47.970306
original,golden_036,parametric,bandpass,harmonic,golden_036,0.3176,0.2579,0.3746,2025-06-12T11:37:50.318897
original,golden_036,parametric,bandpass,harmonic,butterworth,0.3176,0.2579,0.3746,2025-06-12T11:37:52.658679
original,golden_036,parametric,bandpass,chebyshev,bandpass,0.3189,0.2592,0.3764,2025-06-12T11:37:55.021752
original,golden_036,parametric,bandpass,original,butterworth,0.318,0.2602,0.3745,2025-06-12T11:37:57.348430
original,golden_036,parametric,bandpass,multiscale,notch,0.318,0.2586,0.3752,2025-06-12T11:37:59.694829
original,golden_036,parametric,bandpass,jacobi,smooth,0.3202,0.2598,0.3768,2025-06-12T11:38:02.027637
original,golden_036,parametric,bandpass,legendre,smooth,0.3202,0.2598,0.3768,2025-06-12T11:38:04.356520
original,golden_036,parametric,bandpass,spectral_basis,band_stop,0.321,0.2616,0.378,2025-06-12T11:38:06.701820
original,golden_036,parametric,bandpass,multiscale,sharp,0.318,0.2586,0.3752,2025-06-12T11:38:09.010642
original,golden_036,parametric,bandpass,bandstop,bandpass,0.3192,0.2592,0.3764,2025-06-12T11:38:11.349828
original,golden_036,parametric,bandpass,adaptive_bandstop,smooth,0.3221,0.262,0.3793,2025-06-12T11:38:13.692972
original,golden_036,parametric,bandpass,chebyshev,golden_036,0.3206,0.2603,0.3772,2025-06-12T11:38:16.025319
original,golden_036,parametric,bandpass,parametric,golden_036,0.3179,0.2588,0.375,2025-06-12T11:38:18.349756
original,golden_036,parametric,bandpass,harmonic,band_stop,0.3176,0.2579,0.3746,2025-06-12T11:38:20.665342
original,golden_036,parametric,bandpass,adaptive_bandstop,gaussian,0.3221,0.262,0.3793,2025-06-12T11:38:22.996850
original,golden_036,parametric,bandpass,hermite,butterworth,0.3167,0.2576,0.373,2025-06-12T11:38:25.355131
original,golden_036,parametric,bandpass,enhanced_basis,smooth,0.3222,0.2618,0.3797,2025-06-12T11:38:27.678748
original,golden_036,parametric,bandpass,enhanced_basis,bandpass,0.3222,0.2619,0.3797,2025-06-12T11:38:30.043414
original,golden_036,parametric,bandpass,bernstein,bandpass,0.3194,0.2593,0.3763,2025-06-12T11:38:32.380501
original,golden_036,parametric,bandpass,enhanced_basis,notch,0.3222,0.2619,0.3797,2025-06-12T11:38:34.701058
original,golden_036,parametric,bandpass,multiscale,golden_036,0.318,0.2586,0.3752,2025-06-12T11:38:37.063169
original,golden_036,parametric,bandpass,bandstop,band_stop,0.3192,0.2592,0.3764,2025-06-12T11:38:39.399429
original,golden_036,parametric,bandpass,golden,notch,0.3215,0.2616,0.3786,2025-06-12T11:38:41.773991
original,golden_036,parametric,bandpass,original,notch,0.3239,0.263,0.3804,2025-06-12T11:38:44.133980
original,golden_036,parametric,bandpass,multiscale,smooth,0.318,0.2586,0.3752,2025-06-12T11:38:46.469435
original,golden_036,parametric,bandpass,chebyshev,notch,0.3199,0.26,0.3769,2025-06-12T11:38:48.791241
original,golden_036,parametric,bandpass,hermite,notch,0.3149,0.2561,0.371,2025-06-12T11:38:51.105350
original,golden_036,parametric,bandpass,ensemble,gaussian,0.3205,0.2606,0.3774,2025-06-12T11:38:53.457173
original,golden_036,parametric,bandpass,bernstein,notch,0.3199,0.2595,0.3766,2025-06-12T11:38:55.822380
original,golden_036,parametric,bandpass,hermite,gaussian,0.3157,0.2559,0.3716,2025-06-12T11:38:58.163391
original,golden_036,parametric,bandpass,adaptive_bandstop,butterworth,0.3221,0.262,0.3793,2025-06-12T11:39:00.503992
original,golden_036,parametric,bandpass,golden,butterworth,0.3215,0.2616,0.3786,2025-06-12T11:39:02.828888
original,golden_036,parametric,bandpass,golden,golden_036,0.3215,0.2616,0.3786,2025-06-12T11:39:05.191034
original,golden_036,parametric,bandpass,original,bandpass,0.3229,0.2626,0.3802,2025-06-12T11:39:07.537295
original,golden_036,parametric,bandpass,parametric,sharp,0.3179,0.2588,0.375,2025-06-12T11:39:09.857934
original,golden_036,parametric,bandpass,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:39:12.189253
original,golden_036,parametric,bandpass,original,notch,0.3239,0.263,0.3804,2025-06-12T11:39:14.526839
original,golden_036,parametric,bandpass,original,bandpass,0.3229,0.2626,0.3802,2025-06-12T11:39:16.872125
original,golden_036,parametric,butterworth,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:39:19.250104
original,golden_036,parametric,butterworth,original,notch,0.3239,0.263,0.3804,2025-06-12T11:39:21.607424
original,golden_036,parametric,butterworth,original,bandpass,0.3229,0.2626,0.3802,2025-06-12T11:39:23.958163
original,golden_036,hermite,smooth,original,smooth,0.3233,0.2629,0.3806,2025-06-12T11:39:26.331661
original,golden_036,hermite,smooth,original,notch,0.3229,0.2625,0.3802,2025-06-12T11:39:28.698194
original,golden_036,hermite,smooth,original,bandpass,0.3229,0.2625,0.3802,2025-06-12T11:39:31.043590
enhanced_basis,smooth,parametric,bandpass,original,smooth,0.3222,0.2631,0.3796,2025-06-12T11:39:33.397875
enhanced_basis,smooth,parametric,bandpass,original,notch,0.3228,0.2632,0.3804,2025-06-12T11:39:35.756871
enhanced_basis,smooth,parametric,bandpass,original,bandpass,0.3223,0.2628,0.3795,2025-06-12T11:39:38.099518
enhanced_basis,smooth,parametric,butterworth,original,smooth,0.3222,0.2631,0.3796,2025-06-12T11:39:40.435290
enhanced_basis,smooth,parametric,butterworth,original,notch,0.3228,0.2632,0.3804,2025-06-12T11:39:42.752692
enhanced_basis,smooth,parametric,butterworth,original,bandpass,0.3223,0.2628,0.3795,2025-06-12T11:39:45.096020
enhanced_basis,smooth,hermite,smooth,original,smooth,0.3226,0.2629,0.3802,2025-06-12T11:39:47.410385
enhanced_basis,smooth,hermite,smooth,original,notch,0.3223,0.2633,0.3803,2025-06-12T11:39:49.735344
enhanced_basis,smooth,hermite,smooth,original,bandpass,0.3226,0.2632,0.3801,2025-06-12T11:39:52.087452
chebyshev,sharp,parametric,bandpass,original,smooth,0.3231,0.2635,0.3805,2025-06-12T11:39:54.782255
chebyshev,sharp,parametric,bandpass,original,notch,0.3231,0.2631,0.3807,2025-06-12T11:39:57.386962
chebyshev,sharp,parametric,bandpass,original,bandpass,0.3156,0.2593,0.3722,2025-06-12T11:39:59.483617
chebyshev,sharp,parametric,butterworth,original,smooth,0.3231,0.2635,0.3805,2025-06-12T11:40:02.091258
chebyshev,sharp,parametric,butterworth,original,notch,0.3231,0.2631,0.3807,2025-06-12T11:40:04.734611
chebyshev,sharp,parametric,butterworth,original,bandpass,0.3156,0.2593,0.3722,2025-06-12T11:40:06.832535
chebyshev,sharp,hermite,smooth,original,smooth,0.3234,0.2642,0.3808,2025-06-12T11:40:09.441946
chebyshev,sharp,hermite,smooth,original,notch,0.3228,0.2634,0.3805,2025-06-12T11:40:12.107118
chebyshev,sharp,hermite,smooth,original,bandpass,0.3235,0.2637,0.3808,2025-06-12T11:40:14.825896
