user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,timestamp
original,golden_036,parametric,butterworth,spectral_basis,golden_036,0.3211,0.2617,0.3781,2025-06-12T11:50:54.403671
original,golden_036,parametric,butterworth,enhanced_basis,notch,0.3222,0.2619,0.3797,2025-06-12T11:50:56.807022
original,golden_036,parametric,butterworth,legendre,smooth,0.3202,0.2598,0.3768,2025-06-12T11:50:59.228413
original,golden_036,parametric,butterworth,harmonic,sharp,0.3176,0.2579,0.3746,2025-06-12T11:51:01.692842
original,golden_036,parametric,butterworth,ensemble,gaussian,0.3205,0.2606,0.3774,2025-06-12T11:51:04.098169
original,golden_036,parametric,butterworth,multiscale,gaussian,0.318,0.2586,0.3752,2025-06-12T11:51:06.535116
original,golden_036,parametric,butterworth,bernstein,sharp,0.3196,0.2595,0.3766,2025-06-12T11:51:08.969262
original,golden_036,parametric,butterworth,legendre,gaussian,0.3194,0.2596,0.3764,2025-06-12T11:51:11.523025
original,golden_036,parametric,butterworth,legendre,golden_036,0.3202,0.26,0.3769,2025-06-12T11:51:13.891406
original,golden_036,parametric,butterworth,chebyshev,golden_036,0.3206,0.2603,0.3772,2025-06-12T11:51:16.245474
original,golden_036,parametric,butterworth,golden,band_stop,0.3215,0.2616,0.3786,2025-06-12T11:51:18.616589
original,golden_036,parametric,butterworth,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:51:21.036222
original,golden_036,parametric,butterworth,laguerre,gaussian,0.323,0.263,0.3805,2025-06-12T11:51:23.381024
original,golden_036,parametric,butterworth,laguerre,golden_036,0.3228,0.2627,0.3802,2025-06-12T11:51:25.733783
original,golden_036,parametric,bandpass,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:51:28.098551
original,golden_036,parametric,bandpass,laguerre,gaussian,0.323,0.263,0.3805,2025-06-12T11:51:30.490224
original,golden_036,parametric,bandpass,laguerre,golden_036,0.3228,0.2627,0.3802,2025-06-12T11:51:32.858709
original,golden_036,parametric,golden_036,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:51:35.190346
original,golden_036,parametric,golden_036,laguerre,gaussian,0.323,0.263,0.3805,2025-06-12T11:51:37.695035
original,golden_036,parametric,golden_036,laguerre,golden_036,0.3228,0.2627,0.3802,2025-06-12T11:51:40.124722
enhanced_basis,smooth,parametric,butterworth,original,smooth,0.3222,0.2631,0.3796,2025-06-12T11:51:42.514119
enhanced_basis,smooth,parametric,butterworth,laguerre,gaussian,0.3225,0.263,0.3801,2025-06-12T11:51:44.867893
enhanced_basis,smooth,parametric,butterworth,laguerre,golden_036,0.3227,0.2631,0.3804,2025-06-12T11:51:47.199342
enhanced_basis,smooth,parametric,bandpass,original,smooth,0.3222,0.2631,0.3796,2025-06-12T11:51:49.528547
enhanced_basis,smooth,parametric,bandpass,laguerre,gaussian,0.3225,0.263,0.3801,2025-06-12T11:51:52.022602
enhanced_basis,smooth,parametric,bandpass,laguerre,golden_036,0.3227,0.2631,0.3804,2025-06-12T11:51:54.402209
enhanced_basis,smooth,parametric,golden_036,original,smooth,0.3222,0.2631,0.3796,2025-06-12T11:51:56.691875
enhanced_basis,smooth,parametric,golden_036,laguerre,gaussian,0.3225,0.263,0.3801,2025-06-12T11:51:59.153683
enhanced_basis,smooth,parametric,golden_036,laguerre,golden_036,0.3227,0.2631,0.3804,2025-06-12T11:52:01.741589
chebyshev,sharp,parametric,butterworth,original,smooth,0.3231,0.2635,0.3805,2025-06-12T11:52:04.615064
chebyshev,sharp,parametric,butterworth,laguerre,gaussian,0.3239,0.2634,0.3814,2025-06-12T11:52:07.540605
chebyshev,sharp,parametric,butterworth,laguerre,golden_036,0.3235,0.2633,0.3808,2025-06-12T11:52:10.678725
chebyshev,sharp,parametric,bandpass,original,smooth,0.3231,0.2635,0.3805,2025-06-12T11:52:13.578412
chebyshev,sharp,parametric,bandpass,laguerre,gaussian,0.3239,0.2634,0.3814,2025-06-12T11:52:16.477667
chebyshev,sharp,parametric,bandpass,laguerre,golden_036,0.3235,0.2633,0.3808,2025-06-12T11:52:19.482193
chebyshev,sharp,parametric,golden_036,original,smooth,0.3231,0.2635,0.3805,2025-06-12T11:52:22.355784
chebyshev,sharp,parametric,golden_036,laguerre,gaussian,0.3239,0.2634,0.3814,2025-06-12T11:52:25.147163
chebyshev,sharp,parametric,golden_036,laguerre,golden_036,0.3235,0.2633,0.3808,2025-06-12T11:52:27.883517
